id,bundle_name,price,final_price,discount
450,Dharker Studio 2015 Complete,$73.86,$66.46,10%
1437,Pixel Puzzles Ultimate: Starter Kit,$25.35,$15.17,40%
1478,Cosmi Fun Pack,$71.91,$25.2,65%
1482,Two Tribes Complete Pack!,$32.96,$29.66,10%
1396,Expendables 1. 2. & 3,$41.97,$25.17,40%
1471,18 Wheels of Steel Top Payload Pack 2,$27.47,$18.4,33%
1477,Halcyon 6: Starbase Commander + Soundtrack,$26.98,$24.28,10%
1284,Black Sand Drift Collectors Edition,$2.53,$2.15,15%
1468,The Codemasters Complete Collection,$654.44,$575.84,12%
1225,Starters + Founders Package,$79.98,$75.18,6%
1455,ULTAKAAR CHRONICLES,$9.07,$4.51,50%
1011,Publisher Diamond Edition Pack,$15.38,$1.55,90%
419,Dinosaur Hunt Gold Edition Pack,$10.39,$0.84,92%
1460,The Meridian Bundle,$30.96,$21.66,30%
317,Endorlight - Deluxe Edition,$3.98,$2.38,40%
1379,Revolution 60: Special Edition Bundle,$14.98,$12.73,15%
1385,Happy Neighbours Set,$24.98,$17.48,30%
1137,New Retro Arcade: Neon and Original Soundtrack,$29.98,$26.98,10%
279,Microblast Games Bundle,$6.94,$3.44,50%
1440,OtakuMaker Studio Pack - Latest Bundle #3,$14.96,$11.96,20%
1441,OtakuMaker Studio Pack - Part #4,$21.94,$16.44,25%
355,MX vs. ATV Collection,$207.64,$139.0,33%
1401,Shadow Warrior 2 Deluxe,$45.96,$45.96,0%
1418,PopCap Power Pack,$114.77,$57.27,50%
1282,Vanguard Princess Bundle,$11.96,$7.16,40%
1399,Dead Rising Triple Pack,$59.97,$49.77,17%
1392,The Metronomicon Deluxe Edition,$22.38,$20.14,10%
1404,SUPERFIGHT - The Super Bundle,$49.91,$29.91,40%
1406,SUPERFIGHT - The DLC Bundle,$39.92,$23.92,40%
1403,Steam Link + John Wick,$47.78,$47.78,0%
1293,Triangle Service Shmups Collection,$81.88,$53.18,35%
1248,Shooting Love 20XX,$47.92,$35.92,25%
1382,RunGunJumpGun: Special Atomik Edition,$9.98,$9.98,0%
1386,Shiny: Digital Deluxe Edition,$20.97,$16.77,20%
1356,Buka Post Apocalyptic Collection,$30.55,$15.25,50%
1332,3 Outlandish games in 1 bundle: Green Moon. City of Fools and Bathory,$20.97,$10.47,50%
667,Farnham Fables - Tape 1,$1.98,$1.78,10%
1390,Angels Blue Games,$13.98,$12.58,10%
1349,NeuroVoider - Deluxe Edition,$22.98,$19.99,13%
1373,Hue Game and Soundtrack Bundle,$21.98,$20.66,6%
1295,Bloxiq + Soundtrack,$18.98,$17.08,10%
1387,Back To Basics Epilepsy Bundle,$1.98,$1.38,30%
1222,Zombie Bundle,$7.98,$3.2,60%
803,Platformer Bundle,$32.41,$4.87,85%
498,Back In Time Bundle,$2.97,$1.47,50%
396,The Indie Platformers Bundle,$16.97,$2.38,86%
1372,Black Hole Hazard Deluxe,$7.98,$5.98,25%
972,Crush Your Enemies - Complete Plundered Edition,$13.98,$12.58,10%
1378,The orb Chambers Bundle,$11.98,$5.98,50%
1376,Daylights End VR - Full Movie,$19.9,$12.9,35%
1268,18 Wheels of Steel Top Payload Pack,$24.97,$16.72,33%
1328,SHINRAI - Soundtrack Bundle,$22.98,$19.99,13%
825,Back To Basics Mixer Bundle 2,$4.95,$2.9,41%
473,Pug Life Bundle,$2.97,$1.47,50%
1297,Optika + Optika Soundtrack,$7.98,$6.38,20%
604,Risen Franchise Pack,$63.91,$47.91,25%
1336,Hyperdimension Neptunia Re;Birth1 Deluxe Edition Bundle / 特別限定版『デラックスエディション』,$39.98,$35.98,10%
1340,Hyperdimension Neptunia Re;Birth1 Digital Complete Set / デジタルコンプリートエディション,$45.92,$41.32,10%
1153,Pan-Pan: Planetary Pack,$28.96,$24.61,15%
1355,Automobilista + Season Pass for All DLCs,$69.98,$59.48,15%
1161,Flump Studios Complete Pack,$14.7,$9.98,32%
567,Back To Basics Mixer Bundle,$7.92,$3.92,50%
1361,Just Deserts Complete Costume Bundle,$15.96,$14.36,10%
903,Valley + Soundtrack,$26.98,$24.96,7.5%
1271,Malus Code Soundtrack Edition,$15.98,$14.38,10%
1330,The Final Station Collectors Edition,$19.98,$17.98,10%
1350,Deus Ex: Mankind Divided - Digital Deluxe Edition,$89.98,$89.98,0%
1351,Deus Ex: Mankind Divided + Steam Controller Bundle,$89.98,$89.98,0%
1352,Deus Ex: Mankind Divided Digital Deluxe + Steam Controller Bundle,$119.97,$119.97,0%
1209,Road To Ballhalla - Roll Playing Game of the Year Edition,$19.98,$15.98,20%
982,SimplexZombiePack,$13.98,$11.18,20%
827,One Way Heroics + Plus Edition,$9.98,$8.98,10%
694,Storm in a Teacup bundle,$29.98,$23.98,20%
531,Classic Wargames,$41.96,$20.96,50%
538,Alister Software bundle,$1.98,$1.0,49%
347,Astronomic Games,$34.95,$7.0,80%
1005,Moon Colonization Project: Deluxe Edition,$4.18,$3.13,25%
1100,New World Collection,$24.98,$21.23,15%
1114,Okhlos: Olympus Edition,$22.96,$22.96,0%
494,Endless Loop Management,$5.98,$4.96,17%
357,Thomas Was Alone + Volume,$29.98,$26.98,10%
363,Subterrain - OST Edition,$19.98,$17.98,10%
284,The Vanishing of Ethan Carter VR Bundle,$29.98,$29.98,0%
1017,Render System Games Complete,$14.98,$11.98,20%
1002,The Turing Test Collectors Edition,$29.98,$23.98,20%
754,Mysterious Places Bundle,$39.96,$27.96,30%
536,Stronghold Complete Pack,$49.98,$49.98,0%
359,Monstrum - Deluxe Edition,$22.98,$20.68,10%
416,FobTi Indie Bundle,$18.98,$12.33,35%
251,Vae Victis Racing Collection,$26.98,$20.23,25%
923,The Black Watchmen - Occult Agent Edition,$44.96,$33.71,25%
953,AuroraRL Special Edition,$6.98,$6.28,10%
869,Ultimate Conspiracy Pack,$12.98,$9.99,23%
622,Age of Fear Series Bundle,$29.98,$26.98,10%
507,The Screwfly Collection,$34.97,$29.72,15%
298,Out of the Park Baseball 17 + Franchise Hockey Manager 2,$59.98,$53.98,10%
