item_id,spec_name
10,Multi-player
10,Valve Anti-Cheat enabled
1002,Multi-player
1002,Single-player
10090,Co-op
10090,Single-player
10090,Multi-player
100980,Steam Cloud
10100,Single-player
10110,Single-player
10120,Single-player
10130,Multi-player
10130,Single-player
10140,Single-player
10150,Single-player
10180,Single-player
10180,Multi-player
10180,Co-op
10180,Steam Achievements
10180,Valve Anti-Cheat enabled
10180,Steam Cloud
10195,Steam Cloud
10195,Downloadable Content
10195,Valve Anti-Cheat enabled
10195,Multi-player
10220,Steam Achievements
10220,Single-player
102200,Steam Cloud
102200,Stats
102200,Steam Achievements
102200,Steam Leaderboards
102200,Single-player
10230,Single-player
10240,Single-player
102400,Steam Achievements
102400,Steam Cloud
102400,Single-player
102400,Cross-Platform Multiplayer
102400,Co-op
102400,Stats
102400,Multi-player
10250,Single-player
10250,Multi-player
102500,Single-player
102500,Steam Cloud
102500,Partial Controller Support
102500,Steam Achievements
102510,Steam Achievements
102510,Single-player
102510,Steam Cloud
102510,Downloadable Content
102510,Partial Controller Support
102511,Steam Cloud
102511,Single-player
102511,Partial Controller Support
102511,Steam Achievements
102511,Downloadable Content
10260,Multi-player
10260,Single-player
102600,Stats
102600,Steam Cloud
102600,Partial Controller Support
102600,Steam Achievements
102600,Steam Leaderboards
102600,Single-player
102622,Downloadable Content
102622,Steam Leaderboards
102622,Single-player
102622,Partial Controller Support
102622,Stats
102622,Steam Achievements
102623,Single-player
102623,Downloadable Content
10270,Multi-player
10270,Single-player
102700,Online Multi-Player
102700,Online Co-op
102700,Steam Achievements
102700,Steam Trading Cards
102700,Co-op
102700,Multi-player
102810,Steam Cloud
102810,Shared/Split Screen
102810,Steam Leaderboards
102810,Multi-player
102810,Co-op
102810,Steam Trading Cards
102810,Single-player
102810,Steam Achievements
102810,Partial Controller Support
102840,Single-player
102840,Steam Leaderboards
102840,Steam Trading Cards
102840,Steam Achievements
102840,Co-op
102840,Full controller support
102840,Steam Cloud
102850,Partial Controller Support
102850,Single-player
104000,Steam Cloud
104000,Single-player
104000,Steam Achievements
104020,Single-player
104020,Steam Achievements
104200,Single-player
104200,Steam Trading Cards
10460,Partial Controller Support
10460,Multi-player
10460,Single-player
104600,Single-player
104700,Stats
104700,Multi-player
104700,Partial Controller Support
104700,Steam Leaderboards
104900,Online Multi-Player
104900,Steam Achievements
104900,Stats
104900,Multi-player
104900,Includes level editor
104900,Steam Trading Cards
104900,Steam Workshop
104900,Full controller support
104900,Online Co-op
104900,Single-player
104900,Steam Leaderboards
104900,Co-op
104900,Valve Anti-Cheat enabled
10500,Steam Trading Cards
10500,Steam Achievements
10500,Stats
10500,Single-player
10500,Multi-player
105000,Steam Achievements
105000,Single-player
105100,Single-player
10520,Partial Controller Support
10520,Multi-player
10520,Single-player
105300,Steam Achievements
105300,Single-player
105420,Co-op
105420,Single-player
105420,Shared/Split Screen
105420,Steam Cloud
105420,Steam Achievements
105420,Full controller support
105420,Multi-player
105420,Partial Controller Support
105420,Steam Leaderboards
105450,Single-player
105450,Multi-player
105450,Steam Trading Cards
105600,Multi-player
105600,Steam Achievements
105600,Co-op
105600,Steam Trading Cards
105600,Steam Cloud
105600,Single-player
105600,Full controller support
105600,Online Co-op
105600,Online Multi-Player
105700,Partial Controller Support
105700,Steam Achievements
105700,Steam Cloud
105700,Single-player
105700,Steam Leaderboards
105700,Shared/Split Screen
105800,Steam Cloud
105800,Steam Achievements
105800,Single-player
105800,Full controller support
105800,Steam Leaderboards
105800,Steam Trading Cards
105802,Single-player
105802,Downloadable Content
10600,Single-player
10600,Stats
10600,Downloadable Content
10604,Downloadable Content
10604,Single-player
10604,Multi-player
10606,Single-player
10606,Multi-player
10606,Downloadable Content
10607,Downloadable Content
10607,Single-player
10607,Multi-player
10608,Downloadable Content
10608,Single-player
10608,Multi-player
10680,Steam Leaderboards
10680,Single-player
10680,Co-op
10680,Steam Cloud
10680,Stats
10680,Multi-player
10680,Steam Achievements
10695,Co-op
10695,Downloadable Content
10695,Multi-player
10695,Steam Cloud
10695,Steam Leaderboards
10695,Steam Achievements
10695,Stats
10695,Single-player
10697,Steam Leaderboards
10697,Single-player
10697,Steam Achievements
10697,Co-op
10697,Downloadable Content
10697,Stats
10697,Multi-player
10697,Steam Cloud
107100,Steam Achievements
107100,Steam Trading Cards
107100,Full controller support
107100,Steam Leaderboards
107100,Steam Cloud
107100,Single-player
107104,Downloadable Content
107104,Single-player
107200,Steam Cloud
107200,Single-player
107200,Steam Achievements
107200,Stats
107200,Steam Trading Cards
107300,Full controller support
107300,Single-player
107310,Full controller support
107310,Single-player
107310,Steam Trading Cards
107410,Steam Leaderboards
107410,Local Multi-Player
107410,Captions available
107410,Single-player
107410,Co-op
107410,Steam Trading Cards
107410,Online Co-op
107410,Includes level editor
107410,Steam Achievements
107410,Online Multi-Player
107410,Multi-player
107410,Local Co-op
107410,Steam Workshop
107410,Partial Controller Support
107800,Steam Achievements
107800,Single-player
107800,Steam Cloud
107800,Partial Controller Support
107821,Steam Achievements
107821,Partial Controller Support
107821,Single-player
107821,Steam Cloud
107821,Downloadable Content
108110,Single-player
108200,Steam Turn Notifications
108200,Cross-Platform Multiplayer
108200,Multi-player
108200,Shared/Split Screen
108200,Single-player
108200,Local Multi-Player
108200,Online Multi-Player
108200,Steam Achievements
108210,Steam Achievements
108210,Multi-player
108210,Single-player
108230,Steam Achievements
108230,Multi-player
108230,Cross-Platform Multiplayer
108230,Shared/Split Screen
108230,Downloadable Content
108230,Single-player
108230,Steam Turn Notifications
108231,Single-player
108231,Cross-Platform Multiplayer
108231,Multi-player
108231,Shared/Split Screen
108231,Steam Turn Notifications
108231,Downloadable Content
108231,Steam Achievements
108232,Multi-player
108232,Cross-Platform Multiplayer
108232,Steam Turn Notifications
108232,Steam Achievements
108232,Shared/Split Screen
108232,Downloadable Content
108232,Single-player
108233,Multi-player
108233,Steam Turn Notifications
108233,Shared/Split Screen
108233,Single-player
108233,Steam Achievements
108233,Downloadable Content
108500,Full controller support
108500,Steam Achievements
108500,Single-player
108600,Single-player
108600,Co-op
108600,Multi-player
108600,Steam Trading Cards
108600,Partial Controller Support
108600,Shared/Split Screen
108600,Cross-Platform Multiplayer
108700,Co-op
108700,Multi-player
108700,Single-player
108710,Single-player
108710,Steam Trading Cards
108710,Full controller support
108710,Steam Achievements
108710,Steam Cloud
108726,Single-player
108726,Downloadable Content
108800,Partial Controller Support
108800,Single-player
109200,Single-player
109500,Single-player
109600,MMO
109600,In-App Purchases
109600,Co-op
109600,Multi-player
109600,Steam Trading Cards
109600,Includes level editor
109700,Multi-player
109700,Single-player
109702,Single-player
109702,Downloadable Content
11020,Multi-player
11020,Single-player
11020,Includes level editor
11040,Single-player
110400,Multi-player
110400,Single-player
110400,Steam Cloud
110400,Steam Achievements
110400,Steam Leaderboards
11050,Single-player
110500,Partial Controller Support
110500,Steam Achievements
110500,Single-player
110600,Single-player
110600,Steam Achievements
110600,Steam Leaderboards
110600,Partial Controller Support
110610,Shared/Split Screen
110610,Single-player
110610,Steam Leaderboards
110610,Partial Controller Support
110610,Steam Achievements
110630,Full controller support
110630,Shared/Split Screen
110630,Co-op
110630,Single-player
110800,Partial Controller Support
110800,Single-player
110800,Steam Achievements
110810,Downloadable Content
110810,Single-player
110810,Steam Achievements
111000,Single-player
111010,Single-player
111100,Steam Trading Cards
111100,Includes level editor
111100,Steam Leaderboards
111100,Single-player
111100,Partial Controller Support
111100,Steam Achievements
11130,Single-player
111300,Steam Cloud
111300,Steam Achievements
111300,Single-player
111300,Steam Leaderboards
111300,Partial Controller Support
11140,Single-player
111400,Single-player
111400,Steam Achievements
111400,Multi-player
111400,Steam Leaderboards
111400,Co-op
111400,Partial Controller Support
111402,Multi-player
111402,Steam Achievements
111402,Single-player
111402,Co-op
111402,Downloadable Content
111402,Steam Leaderboards
111402,Partial Controller Support
111403,Multi-player
111403,Single-player
111403,Steam Leaderboards
111403,Co-op
111403,Downloadable Content
111403,Steam Achievements
111403,Partial Controller Support
11150,Single-player
111600,Partial Controller Support
111600,Local Co-op
111600,Steam Achievements
111600,Single-player
111800,Steam Achievements
111800,Steam Cloud
111800,Steam Trading Cards
111800,Single-player
111800,Full controller support
111800,Steam Workshop
111800,Includes level editor
11190,Single-player
111900,Stats
111900,Steam Cloud
111900,Steam Achievements
111900,Steam Leaderboards
111900,Single-player
111900,Full controller support
111900,Multi-player
111900,Steam Trading Cards
111910,Multi-player
111910,Full controller support
111910,Downloadable Content
111910,Single-player
111910,Stats
111910,Steam Leaderboards
111910,Steam Cloud
111910,Steam Trading Cards
111910,Steam Achievements
111911,Stats
111911,Steam Leaderboards
111911,Single-player
111911,Multi-player
111911,Steam Trading Cards
111911,Steam Cloud
111911,Steam Achievements
111911,Downloadable Content
111911,Full controller support
111912,Multi-player
111912,Stats
111912,Steam Cloud
111912,Full controller support
111912,Steam Achievements
111912,Steam Trading Cards
111912,Downloadable Content
111912,Steam Leaderboards
111912,Single-player
111913,Multi-player
111913,Downloadable Content
111913,Stats
111913,Full controller support
111913,Steam Achievements
111913,Steam Leaderboards
111913,Steam Cloud
111913,Steam Trading Cards
111913,Single-player
111914,Steam Trading Cards
111914,Steam Leaderboards
111914,Multi-player
111914,Single-player
111914,Steam Cloud
111914,Stats
111914,Downloadable Content
111914,Full controller support
111914,Steam Achievements
