item_id,tag_name,tag_order
10,assassin,0
10,tower defense,1
10,team-based,2
10,score attack,3
10,classic,4
10,strategy,5
10,pvp,6
10,ninja,7
10,multiplayer,8
10,fps,9
10,action,10
10,military,11
10,1980s,12
10,survival,13
10,tactical,14
10,shooter,15
10,first-person,16
10,e-sports,17
10,competitive,18
10,1990s,19
1002,indie,0
1002,fighting,1
1002,multiplayer,2
100400,animation & modeling,0
100400,software,1
10090,zombies,0
10090,online co-op,1
10090,shooter,2
10090,great soundtrack,3
10090,tanks,4
10090,classic,5
10090,singleplayer,6
10090,multiplayer,7
10090,war,8
10090,survival,9
10090,action,10
10090,moddable,11
10090,adventure,12
10090,co-op,13
10090,world war ii,14
10090,horror,15
10090,gore,16
10090,fps,17
10090,historical,18
10090,first-person,19
100980,animation & modeling,0
10100,1990s,0
10100,female protagonist,1
10100,point & click,2
10100,retro,3
10100,1980s,4
10100,fantasy,5
10100,pixel graphics,6
10100,classic,7
10100,adventure,8
10110,sci-fi,0
10110,retro,1
10110,classic,2
10110,pixel graphics,3
10110,1990s,4
10110,point & click,5
10110,third person,6
10110,adventure,7
10110,space,8
10110,1980s,9
10110,comedy,10
10120,action,0
10120,space,1
10120,on-rails shooter,2
10120,casual,3
10130,bullet time,0
10130,atmospheric,1
10130,action,2
10130,singleplayer,3
10130,shooter,4
10130,fps,5
10130,first-person,6
10130,futuristic,7
10130,classic,8
10130,multiplayer,9
10130,time travel,10
10130,sci-fi,11
10130,time manipulation,12
10140,local multiplayer,0
10140,golf,1
10140,sports,2
10140,mini golf,3
10150,atmospheric,0
10150,action,1
10150,violent,2
10150,gore,3
10150,open world,4
10150,sci-fi,5
10150,action-adventure,6
10150,horror,7
10150,hack and slash,8
10150,zombies,9
10150,stealth,10
10150,singleplayer,11
10150,story rich,12
10150,parkour,13
10150,adventure,14
10150,controller,15
10150,rpg,16
10150,third person,17
10150,superhero,18
10150,sandbox,19
10180,story rich,0
10180,linear,1
10180,fps,2
10180,first-person,3
10180,shooter,4
10180,action,5
10180,military,6
10180,multiplayer,7
10180,co-op,8
10180,online co-op,9
10180,singleplayer,10
10180,adventure,11
10180,tactical,12
10180,pvp,13
10180,strategy,14
10180,war,15
10180,zombies,16
10180,moddable,17
10180,atmospheric,18
10180,great soundtrack,19
10195,action,0
10195,multiplayer,1
10195,free to play,2
10195,fps,3
10220,funny,0
10220,nudity,1
10220,third-person shooter,2
10220,mature,3
10220,fps,4
10220,action,5
10220,singleplayer,6
10220,comedy,7
10220,shooter,8
10220,first-person,9
10220,third person,10
10220,story rich,11
10220,violent,12
10220,dark humor,13
10220,sandbox,14
10220,gore,15
10220,indie,16
10220,adventure,17
10220,great soundtrack,18
10220,open world,19
102200,adventure,0
102200,casual,1
102200,singleplayer,2
102200,fantasy,3
102200,rpg,4
102200,card game,5
102200,indie,6
10230,adventure,0
10230,point & click,1
10240,adventure,0
10240,point & click,1
102400,indie,0
102400,strategy,1
102400,action,2
10250,simulation,0
102500,action,0
102500,action rpg,1
102500,third person,2
