id,best_item,ratings,num_of_specs,num_of_tags,num_of_users,avg_usage_time,num_of_reviews,sum_of_recommend,avg_review_len
10,1,4,2,20,9611,1780.0289,57,55,160.0877
20,1,3,2,20,6268,153.2425,17,5,162.0000
30,0,3,2,15,3431,220.4532,4,2,213.7500
40,0,3,2,8,3242,47.6323,1,1,164.0000
50,0,3,3,17,6216,116.8830,4,2,45.7500
60,0,2,2,13,3276,47.9008,10,10,85.9000
70,1,4,3,20,7664,345.8959,62,60,382.9355
80,0,3,3,20,8729,282.8653,12,6,84.9167
130,0,3,1,16,6135,71.2042,5,5,177.4000
220,1,4,7,20,18102,592.1704,216,198,178.1620
240,1,4,7,20,23952,4647.4076,238,216,130.0042
280,0,2,1,20,4767,101.7109,7,5,239.5714
300,1,3,7,20,4927,1238.8524,33,29,174.9091
320,0,3,3,12,15684,180.6033,13,11,118.6154
340,0,3,2,19,19612,17.3879,13,9,125.2308
360,0,2,2,8,13183,7.7758,2,0,88.5000
380,1,3,8,20,13131,149.3298,16,14,169.5000
400,1,4,7,20,18571,278.7165,103,103,124.5922
420,1,3,8,20,12918,197.8269,19,19,136.2632
500,1,3,12,20,6528,1991.1247,33,31,140.4545
550,1,4,13,20,36661,2760.1925,752,710,123.5027
620,1,4,11,20,24206,1080.7729,374,368,155.5214
730,1,3,8,20,43331,17903.6910,3756,3194,132.7785
1002,0,0,2,3,63,14.1905,0,0,0.0000
1200,0,3,3,16,1771,152.5940,2,2,38.0000
1230,0,3,3,7,1771,9.8193,0,0,0.0000
1250,1,4,10,20,14046,2117.1629,334,320,134.0180
1280,0,3,4,12,1771,147.6957,1,1,33.0000
1300,0,3,2,10,169,62.9112,0,0,0.0000
1500,0,2,1,8,1901,32.3535,0,0,0.0000
1510,0,3,1,15,2054,85.8403,7,7,207.4286
1520,0,3,2,16,2486,87.7490,8,4,136.1250
1530,0,3,3,6,1832,25.4918,0,0,0.0000
1600,0,2,2,3,115,62.0435,0,0,0.0000
1610,0,3,2,7,141,181.1702,0,0,0.0000
1630,0,3,3,8,161,131.0870,0,0,0.0000
1640,0,2,3,13,193,140.7358,0,0,0.0000
1670,0,0,2,4,129,33.0155,1,-1,69.0000
1690,0,2,2,8,156,630.0897,2,2,1245.5000
1700,0,3,1,12,231,82.6667,0,0,0.0000
1900,0,0,5,6,577,120.9965,1,-1,40.0000
1930,0,2,7,12,1572,102.5795,3,3,200.3333
2100,1,3,3,20,1045,422.4861,1,1,246.0000
2200,0,4,3,17,1166,66.8894,2,2,40.0000
2210,0,3,3,15,760,96.0184,0,0,0.0000
2270,0,3,2,12,1175,27.6443,6,6,374.3333
2280,0,3,2,20,1327,58.3572,8,8,134.2500
2290,0,3,2,19,1217,11.3541,1,1,18.0000
2300,0,3,3,20,1343,49.2673,3,3,234.3333
2310,0,4,4,20,1239,73.7361,3,3,53.6667
2320,0,3,4,19,1161,57.3333,1,1,115.0000
2330,0,1,3,4,1049,1.3842,0,0,0.0000
2340,0,0,3,4,1051,1.1389,0,0,0.0000
2350,0,3,3,8,1165,7.8215,0,0,0.0000
2360,0,3,2,11,721,7.1734,0,0,0.0000
2370,0,2,2,5,698,0.9570,0,0,0.0000
2390,0,3,3,10,711,11.3615,0,0,0.0000
2400,0,3,4,20,6273,164.3467,23,21,170.0435
2420,0,0,1,5,6249,30.6771,2,2,64.5000
2450,0,2,3,8,401,422.2045,5,3,114.8000
2500,0,3,3,13,1191,79.2082,1,1,60.0000
2520,0,0,1,3,306,4.3758,0,0,0.0000
2540,0,0,3,8,520,10.9077,0,0,0.0000
2570,0,-3,1,4,280,2.8964,1,-1,264.0000
2590,0,0,1,8,973,16.6629,2,0,239.5000
2600,1,3,1,20,1107,534.6847,6,6,597.1667
2610,0,3,1,14,133,187.4436,1,1,113.0000
2620,0,3,2,16,608,204.1299,4,4,190.5000
2630,0,3,2,17,773,549.6714,1,1,18.0000
2640,0,3,2,12,548,154.4270,2,2,23.5000
2700,0,3,1,16,1693,533.8748,8,8,110.2500
2710,0,3,2,3,39,262.1795,0,0,0.0000
2720,0,1,3,4,67,9.9552,0,0,0.0000
2780,0,0,3,6,127,147.3543,0,0,0.0000
2800,0,2,3,11,473,105.9873,0,0,0.0000
2810,0,2,3,12,667,120.6927,1,1,108.0000
