user,bundle,rating
7960269200,Counter-Strike Complete,2
7960270504,Counter-Strike Complete,2
7960288186,Counter-Strike Complete,2
7960304530,Counter-Strike Complete,2
7960309047,Counter-Strike Complete,2
7960324641,Counter-Strike Complete,2
7960374386,Counter-Strike Complete,2
7960468196,Counter-Strike Complete,2
7960481891,Counter-Strike Complete,2
7960490954,Counter-Strike Complete,2
7960493731,Counter-Strike Complete,2
7960506187,Counter-Strike Complete,2
7960537043,Counter-Strike Complete,2
7960540939,Counter-Strike Complete,2
7960578413,Counter-Strike Complete,2
7960579429,Counter-Strike Complete,2
7960699002,Counter-Strike Complete,2
7960704921,Counter-Strike Complete,2
7960706036,Counter-Strike Complete,2
7960889906,Counter-Strike Complete,2
7960985873,Counter-Strike Complete,2
7961040696,Counter-Strike Complete,7
7961112434,Counter-Strike Complete,7
7961374798,Counter-Strike Complete,2
7961484285,Counter-Strike Complete,1
7961524497,Counter-Strike Complete,2
7961527124,Counter-Strike Complete,2
7961573824,Counter-Strike Complete,2
7961601696,Counter-Strike Complete,2
7961606757,Counter-Strike Complete,2
7961633679,Counter-Strike Complete,2
7961645143,Counter-Strike Complete,2
7961794949,Counter-Strike Complete,2
7961833344,Counter-Strike Complete,2
7962028169,Counter-Strike Complete,2
7962054021,Counter-Strike Complete,2
7962452002,Counter-Strike Complete,2
7962465191,Counter-Strike Complete,2
7962736283,Counter-Strike Complete,2
7963109724,Counter-Strike Complete,2
7963281637,Counter-Strike Complete,2
7963445855,Counter-Strike Complete,2
7963446231,Counter-Strike Complete,2
7963455626,Counter-Strike Complete,2
7963458311,Counter-Strike Complete,2
7963519255,Counter-Strike Complete,7
7963549028,Counter-Strike Complete,2
7963586191,Counter-Strike Complete,2
7963590175,Counter-Strike Complete,2
7963864565,Counter-Strike Complete,2
7963870886,Counter-Strike Complete,2
7963904076,Counter-Strike Complete,2
7964056548,Counter-Strike Complete,2
7964075791,Counter-Strike Complete,2
7964135693,Counter-Strike Complete,2
7964137153,Counter-Strike Complete,2
7964188781,Counter-Strike Complete,2
7964218274,Counter-Strike Complete,1
7964316999,Counter-Strike Complete,2
7964317648,Counter-Strike Complete,2
7964334210,Counter-Strike Complete,2
7964565100,Counter-Strike Complete,2
7964753680,Counter-Strike Complete,2
7964771772,Counter-Strike Complete,2
7964794102,Counter-Strike Complete,2
7964907006,Counter-Strike Complete,2
7965109264,Counter-Strike Complete,2
7965204925,Counter-Strike Complete,2
7965207724,Counter-Strike Complete,1
7965208032,Counter-Strike Complete,2
7965245177,Counter-Strike Complete,2
7965262988,Counter-Strike Complete,2
7965289469,Counter-Strike Complete,2
7965385429,Counter-Strike Complete,2
7965527878,Counter-Strike Complete,2
7965833454,Counter-Strike Complete,2
7965966319,Counter-Strike Complete,2
7966014818,Counter-Strike Complete,2
7966135326,Counter-Strike Complete,2
7966150135,Counter-Strike Complete,1
7966191220,Counter-Strike Complete,2
7966227291,Counter-Strike Complete,2
7966298550,Counter-Strike Complete,2
7966364980,Counter-Strike Complete,2
7966457747,Counter-Strike Complete,2
7966574504,Counter-Strike Complete,2
7966694459,Counter-Strike Complete,2
7966878140,Counter-Strike Complete,2
7966989934,Counter-Strike Complete,2
7967003986,Counter-Strike Complete,2
7967105188,Counter-Strike Complete,2
7967229047,Counter-Strike Complete,2
7967272400,Counter-Strike Complete,2
7967307819,Counter-Strike Complete,2
7967415237,Counter-Strike Complete,1
7967469174,Counter-Strike Complete,2
7967514845,Counter-Strike Complete,2
7967534070,Counter-Strike Complete,2
7967598398,Counter-Strike Complete,2
7967609413,Counter-Strike Complete,2
7967756999,Counter-Strike Complete,2
7967821469,Counter-Strike Complete,2
7967996110,Counter-Strike Complete,2
7968002230,Counter-Strike Complete,2
7968167449,Counter-Strike Complete,2
7968305777,Counter-Strike Complete,2
7968314652,Counter-Strike Complete,2
7968331328,Counter-Strike Complete,1
7968411887,Counter-Strike Complete,2
7968436663,Counter-Strike Complete,2
7968547573,Counter-Strike Complete,2
7968601825,Counter-Strike Complete,2
7968669410,Counter-Strike Complete,2
7968788420,Counter-Strike Complete,1
7969159666,Counter-Strike Complete,2
7969324150,Counter-Strike Complete,2
7969396722,Counter-Strike Complete,2
7969455548,Counter-Strike Complete,2
7969744612,Counter-Strike Complete,2
7970059381,Counter-Strike Complete,2
7970076726,Counter-Strike Complete,2
7970095283,Counter-Strike Complete,1
7970148466,Counter-Strike Complete,1
