id,item_name,price,beta_version,ratings,metascore,developer,release_date
300820,disneyu2022pixar toy story 3: the video game,$19.99 ,0,0,73,avalanche software,2011.6.15
440140,magnetic,$1.99 ,0,0,0,,2016.3.4
435040,incredible dracula: chasing love collectors edition,$9.99 ,0,0,0,new bridge games,2015.11.29
451920,thorne - death merchants,$2.99 ,0,2,0,thorne games,2016.3.25
273850,ski-world simulator,$9.99 ,0,-2,0,united independent entertainment gmbh,2014.11.18
372190,astro lords: oort cloud,,0,0,0,aratog llc,2016.1.15
238010,deus ex: human revolution - directors cut,$19.99 ,0,3,91,eidos montreal.feral interactive (mac),2013.10.25
224860,arma tactics,$8.99 ,0,-2,47,bohemia interactive,2013.10.1
397040,sphere iii: enchanted world,,0,0,0,nikita online,2015.8.18
3230,genesis rising,$4.99 ,0,-2,57,metamorf,2007.3.20
354650,missing: an interactive thriller - episode one,,0,3,63,zandel media,2015.5.25
251470,towerfall ascension,$14.99 ,0,3,87,matt thorson,2014.3.11
378110,hack run,$4.99 ,0,3,0,i273 llc,2015.6.17
13200,unreal 2: the awakening,$14.99 ,0,2,75,epic games. inc.,2003.2.3
368970,haywire on fuel station zeta,$3.99 ,0,0,0,mad goblin games,2015.9.24
408920,krai mira: extended cut,$7.99 ,0,0,50,talltech studio,2016.7.11
465720,demon hunter 2: new chapter,$9.99 ,0,0,0,brave giant ltd,2016.7.21
357890,vortex attack: u30dcu30ebu30c6u30c3u30afu30b9u30a2u30bfu30c3u30af,$6.99 ,0,1,0,kaleidogames,2015.5.27
207570,english country tune,$4.99 ,0,3,0,increpare games,2011.11.25
269590,claustrophobia: the downward struggle,$4.99 ,1,0,0,the indie forge,2014.9.9
368230,kingdom: classic,$4.99 ,0,3,74,noio.licorice,2015.10.21
70100,hacker evolution,$4.99 ,0,0,0,exosyphen studios,2010.9.14
268130,heat signature,$14.99 ,0,3,79,suspicious developments,2017.9.21
274310,always sometimes monsters,$9.99 ,0,3,73,vagabond dog,2014.5.21
346210,garden rescue,$3.99 ,0,1,0,rainbow games,2015.2.2
292600,duet,$4.99 ,0,3,0,kumobius,2015.8.3
358000,the curse of nordic cove,$0.99 ,0,0,0,on the level game studios,2015.4.23
406780,welcome to boon hill,$4.99 ,0,1,0,matthew ritter,2015.10.31
283820,kamui,$7.99 ,0,3,0,siter skain,2014.12.11
242840,in verbis virtus,$19.99 ,0,3,0,indomitus games,2015.4.3
272010,aveyond 3-1: lord of twilight,$9.99 ,0,2,0,amaranth games. llc,2014.2.7
307410,martial arts: capoeira,$4.99 ,0,-2,0,twelve games,2014.6.12
389870,mugen souls,$19.99 ,0,0,0,idea factory,2015.10.22
238370,magicka 2,$14.99 ,0,2,69,pieces interactive,2015.5.26
12530,hunting unlimitedu2122 2008,$9.99 ,0,2,0,scs software,2007.9.1
364230,lucius demake,$4.99 ,0,3,0,shiver games,2016.8.8
304810,tesseract,$14.99 ,0,0,0,propelled bird software,2014.10.24
99900,spiral knights,,0,3,64,grey havens,2011.6.14
310950,street fighter v,$39.99 ,0,0,74,capcom,2016.2.15
398480,louie cooks,$4.99 ,0,0,0,,
340810,deepworld,,1,0,0,bytebin,2015.4.22
294700,putt-puttxae: peps birthday surprise,$6.99 ,0,0,0,humongous entertainment,2003.8.15
301680,psichodelya,$6.99 ,0,-2,0,ennoble studios,2014.8.8
396090,rogue state,$12.99 ,0,2,66,lrdgames. inc.,2015.10.16
476510,callys trials,$6.99 ,0,0,0,vdo games,2016.6.14
254590,theme park studio,$29.99 ,0,0,0,,
220780,thomas was alone,$9.99 ,0,3,77,bithell games,2012.11.12
263960,wyv and keep: the temple of the lost idol,$14.99 ,0,0,0,a jolly corpse,2014.8.8
102200,runespell: overture,$9.99 ,0,2,69,mystic box,2011.7.20
261680,journal,$9.99 ,0,2,59,locked door puzzle,2014.2.17
455990,smash pixel racing,$2.99 ,1,0,0,jollyfish games,2016.6.20
372800,rpg mo,,1,2,0,marxnet,2015.8.18
263140,postmortem: one must die (extended cut),$2.99 ,0,0,0,unbound creations,2013.8.15
431710,space pilgrim episode ii: epsilon indi,$1.99 ,0,3,0,pilgrim adventures.grabthegames studios,2016.1.9
500570,mahjong deluxe 2: astral planes,$2.99 ,0,0,0,ensenasoft,2016.7.20
322990,black viper: sophias fate,$9.99 ,0,-1,0,ticonbl,2014.9.5
37010,ninja blade,$9.99 ,0,0,61,fromsoftware,2009.11.19
393430,ice lakes,$14.99 ,0,3,0,,
397090,wind child,$3.99 ,0,0,0,valkyria studios,2016.3.18
270510,epoch,$9.99 ,0,2,0,uppercut games pty ltd,2014.6.5
514220,super gunworld 2,$7.99 ,0,0,0,m07games,2016.5.13
262850,the journey down: chapter two,$19.99 ,0,3,78,skygoblin,2014.8.25
385250,paint it back,$7.99 ,0,3,0,casual labs,2015.10.14
65540,gothic 1,$19.99 ,0,3,81,piranha bytes,2001.3.15
8200,sam & max 101: culture shock,$19.99 ,0,3,0,telltale games,2006.10.17
434570,blood and bacon,$0.99 ,0,4,0,big corporation,2016.2.1
430020,dance of death,$3.99 ,0,0,0,eight game studio,2015.12.21
3300,bejeweled 2 deluxe,$4.99 ,0,3,0,popcap games. inc.,2006.8.30
371100,waste walkers,$9.99 ,0,3,0,corrosive studios llc,2015.6.1
441640,valens,$7.99 ,0,-2,0,digitallion,2016.2.18
38100,build-a-lot 3: passport to europe,$9.99 ,0,0,0,hip soft,2009.1.24
478950,v arrr,$9.99 ,0,2,0,,
424100,celestrion,$0.99 ,0,0,0,,
429280,gems of the aztecs,$4.99 ,0,0,0,wellore,2016.4.22
34630,massive assault,$9.99 ,0,0,77,wargaming.net,2003.10.28
502230,monsters den: book of dread,$4.99 ,0,3,0,monstrum,2008.6.1
290380,micron,$4.99 ,0,3,0,apparition games,2014.7.23
459630,r.c. bot inc.,$4.99 ,0,0,0,blue budgie studios,2016.7.29
376730,monument,$3.99 ,0,-2,0,d-games,2015.6.5
220440,dmc: devil may cry,$29.99 ,0,3,85,ninja theory,2013.1.24
285670,galactic command echo squad se,$9.99 ,0,0,0,3000ad,2014.3.10
6030,star warsu2122 jedi knight ii - jedi outcastu2122,$9.99 ,0,3,89,raven software.aspyr (mac),2003.9.16
32740,mig-29 fulcrum,$9.99 ,0,2,0,novalogic,1998.9.7
394220,last horizon,$4.99 ,0,3,0,pixeljam,2015.11.18
12390,exodus from the earth,$14.99 ,0,0,0,parallax arts studio,2008.10.24
342020,bit evolution,$9.99 ,0,2,0,major games,2015.6.9
486500,spooky heroes,$4.99 ,0,0,0,gaweb studio,2016.2.7
378410,dont be patchman,$9.99 ,0,0,0,naturally intelligent,2017.10.19
