item_id,spec_name
315830,Partial Controller Support
496250,Online Multi-Player
390340,Steam Achievements
330770,Gamepad
47520,Single-player
357280,Single-player
350810,Steam Achievements
203830,Steam Trading Cards
510130,Standing
514290,Steam Trading Cards
116100,Steam Achievements
331600,Single-player
301930,Steam Achievements
269590,Single-player
357700,Single-player
305510,Cross-Platform Multiplayer
92700,Steam Cloud
450050,Oculus Rift
368990,Single-player
234710,Full controller support
317100,Steam Leaderboards
465750,Steam Trading Cards
369110,Single-player
212480,Valve Anti-Cheat enabled
234290,Steam Trading Cards
209520,Steam Leaderboards
242130,Full controller support
326460,Multi-player
432980,Single-player
45000,Steam Leaderboards
264540,Steam Achievements
355860,Steam Trading Cards
246940,Steam Trading Cards
513260,Single-player
369130,Single-player
2340,Single-player
406120,Steam Cloud
63610,Single-player
261110,Steam Achievements
288260,Steam Leaderboards
451400,Steam Cloud
318020,Steam Cloud
313810,Steam Trading Cards
405640,Stats
383120,Co-op
31280,Steam Achievements
453830,Includes level editor
333100,Single-player
387090,Cross-Platform Multiplayer
264000,Steam Trading Cards
369300,Full controller support
389050,Local Multi-Player
519180,Single-player
255710,Includes level editor
390610,Steam Trading Cards
402160,Single-player
71250,Single-player
361850,Single-player
494830,Single-player
204360,Single-player
237350,Single-player
427770,Steam Trading Cards
248610,Steam Workshop
390340,Steam Trading Cards
236090,Steam Achievements
329490,Shared/Split Screen
266330,Steam Cloud
500,Co-op
246760,Steam Achievements
408900,Single-player
357600,Steam Achievements
333650,Single-player
205990,Single-player
448090,Steam Leaderboards
38230,Steam Achievements
400160,Partial Controller Support
512230,Steam Trading Cards
357070,Full controller support
347480,Single-player
244930,Steam Achievements
493100,Room-Scale
340000,Steam Cloud
317580,Steam Cloud
310700,Steam Cloud
363240,Stats
352760,Steam Achievements
412230,Includes level editor
485110,Room-Scale
461910,Steam Achievements
368690,Local Multi-Player
249190,Steam Trading Cards
343370,Single-player
368720,Single-player
343120,HTC Vive
327010,Single-player
439910,Full controller support
392150,Online Multi-Player
244590,Multi-player
233700,Full controller support
433210,Single-player
402620,Steam Cloud
296970,Steam Leaderboards
327880,Steam Cloud
274500,Steam Cloud
272920,HTC Vive
437020,Steam Achievements
494000,Steam Achievements
486780,Steam Leaderboards
416350,Steam Cloud
332250,Steam Achievements
405500,Steam Leaderboards
465780,Full controller support
425820,Steam Leaderboards
336250,Single-player
388540,Single-player
319450,Full controller support
257510,Steam Achievements
359160,Single-player
32150,Stats
443380,Single-player
324570,Steam Cloud
17100,Steam Achievements
375020,Steam Trading Cards
263360,Single-player
200170,Shared/Split Screen
246920,Steam Workshop
427240,Standing
493650,Single-player
301920,Steam Cloud
281050,Partial Controller Support
408280,Steam Achievements
346470,Online Multi-Player
422250,Stats
517460,Steam Trading Cards
306660,Steam Achievements
397340,Single-player
303510,Multi-player
428100,Single-player
318330,Steam Achievements
332710,Steam Leaderboards
351030,Stats
385270,Stats
348490,Single-player
335850,Single-player
314230,Single-player
283080,Steam Trading Cards
338890,Steam Leaderboards
351170,Single-player
50300,Stats
346140,Steam Trading Cards
313360,Steam Trading Cards
335790,Stats
98200,Steam Trading Cards
378830,Single-player
95300,Shared/Split Screen
457860,Tracked Motion Controllers
355950,Steam Cloud
46830,Single-player
333650,Steam Achievements
263140,Stats
448880,Room-Scale
258050,Steam Trading Cards
313980,Single-player
447020,Co-op
