item_id,tag_name,tag_order
235600,first-person,5
333100,open world,3
80330,adventure,14
257350,adventure,13
363510,open world,19
340830,action,4
65790,shooter,12
32510,strategy,1
394510,comedy,18
376210,open world,14
227860,kickstarter,9
375750,indie,5
490880,action,2
343370,text-based,3
329490,arcade,0
288220,dating sim,2
288220,simulation,4
204630,great soundtrack,17
27900,story rich,3
439920,crafting,3
32470,simulation,15
524030,adventure,3
245620,resource management,11
368590,dark,16
451600,online co-op,0
274290,adventure,11
390520,blood,16
218660,indie,3
448620,singleplayer,19
354180,retro,3
466490,female protagonist,6
350490,female protagonist,6
353340,third person,3
250340,open world,14
275200,local co-op,12
2800,space,6
18420,strategy,0
462480,adventure,6
23700,rpg,3
257120,strategy,5
286940,open world,11
458470,2d,9
260790,2d,10
293740,atmospheric,2
292660,adventure,2
250400,crafting,12
372950,indie,0
217120,fast-paced,2
375550,casual,3
458330,indie,0
402460,mod,1
425160,2d,5
262900,pixel graphics,1
45760,anime,13
205610,management,10
31810,puzzle,2
47410,singleplayer,1
342580,management,2
335940,strategy,0
292930,puzzle,12
322300,mmorpg,11
322990,casual,1
207380,bullet hell,4
299070,rts,1
312420,turn-based strategy,10
373630,shoot em up,5
65540,classic,13
454950,typing,8
446390,hack and slash,8
313830,open world,4
238320,indie,11
314320,strategy,3
450650,sokoban,3
210970,difficult,5
251370,pixel graphics,5
363510,zombies,7
345650,singleplayer,6
489700,action,0
356560,otome,3
490820,action,3
438330,adventure,8
461200,open world,2
358830,twin stick shooter,0
342650,racing,0
306480,simulation,3
322290,anime,9
447530,memes,6
255940,adventure,3
320,adventure,10
438000,casual,3
17450,choices matter,11
350500,action,6
244090,strategy,4
442810,massively multiplayer,5
430020,adventure,7
418110,strategy,5
249550,multiplayer,4
234900,indie,8
297130,great soundtrack,8
34500,sci-fi,0
251060,co-op,16
428180,rpg,5
22180,puzzle,2
452450,parkour,0
326960,mod,4
339610,massively multiplayer,0
370540,singleplayer,2
307690,sandbox,2
461910,competitive,16
348380,indie,2
73170,simulation,1
250620,atmospheric,14
370550,action,5
413850,gaming,4
24780,economy,4
327090,survival,6
504260,singleplayer,3
12430,casual,1
423750,indie,0
411830,sexual content,13
254460,singleplayer,10
321830,pixel graphics,2
374950,controller,7
18700,action,0
225080,short,14
95400,multiplayer,11
313240,first-person,5
130,sci-fi,1
102700,online co-op,4
7510,hack and slash,0
240760,survival,15
498050,adventure,0
496760,1990s,1
70620,golf,6
245280,singleplayer,18
270370,aliens,9
250900,co-op,16
410550,simulation,0
236730,rts,7
389690,simulation,0
223730,adventure,9
415980,adventure,0
270210,singleplayer,12
448830,singleplayer,10
32510,sci-fi,9
301640,singleplayer,5
367240,action,6
263420,casual,3
444250,free to play,2
237430,adventure,1
517710,simulation,16
325370,strategy rpg,7
489580,action,3
312370,games workshop,0
385130,web publishing,16
313980,hack and slash,3
209670,zombies,10
296970,turn-based,2
366890,science,3
340,great soundtrack,15
343780,illuminati,1
369560,arcade,5
268050,third-person shooter,3
392620,strategy,5
451870,vr,1
426000,funny,9
428190,action,5
25890,world war ii,10
349950,indie,0
420050,mystery,12
220200,open world,14
295590,indie,1
40950,2d,1
314160,multiplayer,3
231160,singleplayer,10
40800,replay value,2
222140,2d,1
322540,strategy,4
444320,casual,0
445170,indie,3
8000,third-person shooter,4
